<<<<<<< HEAD
date, pm25
2020/1/8,160
2020/1/9,140
2020/1/10,157
2020/1/11,155
2020/1/12,169
2020/1/13,167
2020/1/14,122
2020/1/15,133
2020/1/16,152
2020/1/17,159
2020/1/18,159
2020/1/19,157
2020/1/20,148
2020/1/21,164
2020/1/22,151
2020/1/23,147
2020/1/24,139
2020/1/25,154
2020/1/26,173
2020/1/27,176
2020/1/28,144
2020/1/29,103
2020/1/30,146
2020/1/31,150
=======
date,Bhiwanipm 2.5
>>>>>>> 8900c112f6bc04378cea47a99ec445629bdc23c9
2019/10/1,112
2019/10/2,115
2019/10/3,150
2019/10/4,110
2019/10/5,122
<<<<<<< HEAD
=======
,
,
>>>>>>> 8900c112f6bc04378cea47a99ec445629bdc23c9
2019/10/8,113
2019/10/9,146
2019/10/10,158
2019/10/11,165
2019/10/12,160
2019/10/13,142
2019/10/14,141
2019/10/15,139
2019/10/16,140
2019/10/17,166
2019/10/18,137
2019/10/19,97
2019/10/20,125
2019/10/21,136
2019/10/22,151
2019/10/23,135
2019/10/24,143
2019/10/25,178
2019/10/26,206
2019/10/27,217
2019/10/28,266
2019/10/29,278
2019/10/30,232
2019/10/31,292
2019/11/1,373
2019/11/2,415
2019/11/3,304
2019/11/4,260
2019/11/5,171
2019/11/6,162
2019/11/7,170
2019/11/8,169
2019/11/9,172
2019/11/10,169
2019/11/11,212
2019/11/12,363
2019/11/13,388
2019/11/14,290
2019/11/15,243
2019/11/16,201
2019/11/17,150
2019/11/18,138
2019/11/19,154
2019/11/20,182
2019/11/21,218
2019/11/22,221
2019/11/23,173
2019/11/24,191
2019/11/25,171
2019/11/26,163
2019/11/27,104
2019/11/28,86
2019/11/29,129
2019/11/30,150
2019/12/1,159
2019/12/2,164
2019/12/3,161
2019/12/4,162
2019/12/5,227
2019/12/6,250
2019/12/7,211
2019/12/8,201
2019/12/9,188
2019/12/10,203
2019/12/11,254
2019/12/12,271
2019/12/13,160
2019/12/14,134
2019/12/15,165
2019/12/16,136
2019/12/17,164
2019/12/18,167
2019/12/19,202
2019/12/20,223
2019/12/21,182
2019/12/22,166
2019/12/23,183
2019/12/24,206
2019/12/25,179
2019/12/26,202
2019/12/27,219
2019/12/28,192
2019/12/29,208
2019/7/1,167
2019/7/2,173
2019/7/3,141
2019/7/4,103
2019/7/5,127
2019/7/6,121
2019/7/7,125
2019/7/8,143
2019/7/9,142
2019/7/10,180
2019/7/11,198
2019/7/12,209
2019/7/13,170
2019/7/14,189
2019/7/15,170
2019/7/16,123
2019/7/17,93
2019/7/18,119
2019/7/19,147
2019/7/20,140
2019/7/21,124
2019/7/22,144
2019/7/23,142
2019/7/24,157
2019/7/25,94
2019/7/26,101
2019/7/27,86
2019/7/28,91
2019/7/29,103
2019/7/30,118
2019/7/31,106
2019/8/1,114
2019/8/2,112
2019/8/3,128
2019/8/4,102
2019/8/5,125
2019/8/6,105
2019/8/7,95
2019/8/8,102
2019/8/9,77
2019/8/10,73
2019/8/11,98
2019/8/12,64
2019/8/13,89
2019/8/14,75
2019/8/15,93
2019/8/16,74
2019/8/17,55
2019/8/18,51
2019/8/19,107
2019/8/20,126
2019/8/21,128
2019/8/22,114
2019/8/23,123
2019/8/24,126
2019/8/25,129
2019/8/26,111
2019/8/27,126
2019/8/28,118
2019/8/29,111
2019/8/30,114
2019/8/31,134
2019/9/1,101
2019/9/2,107
2019/9/3,139
2019/9/4,131
2019/9/5,142
2019/9/6,132
2019/9/7,114
2019/9/8,114
2019/9/9,156
2019/9/10,157
2019/9/11,163
2019/9/12,159
2019/9/13,124
2019/9/14,129
2019/9/15,105
2019/9/16,143
2019/9/17,149
2019/9/18,131
2019/9/19,98
2019/9/20,111
2019/9/21,116
2019/9/22,94
2019/9/23,100
2019/9/24,102
2019/9/25,114
2019/9/26,90
2019/9/27,87
2019/9/28,93
2019/9/29,79
2019/9/30,95
2019/6/15,166
2019/6/16,146
2019/6/17,113
2019/6/18,113
2019/6/19,162
2019/6/20,152
2019/6/21,155
2019/6/22,149
2019/6/23,156
2019/6/24,116
2019/6/25,133
2019/6/26,145
2019/6/27,188
2019/6/28,170
2019/6/29,190
2019/6/30,172
<<<<<<< HEAD
2019/12/31, 
2019/10/7, 
2019/6/14, 
=======
, 
, 
, 
>>>>>>> 8900c112f6bc04378cea47a99ec445629bdc23c9
